mask_name,policy,T,profile_index,phi,phi_over_pi,v_fit_A,v_fit_B,v_fit_ABB,margin_A_losing,margin_B_losing,margin_ABB_winning,margin_primary_transport,margin_sensitivity_transport,strict_stage3,drift_stage3,pp_primary,pp_sensitivity
pp_primary,fixed,6000,16,1.7739925931779068,0.5646793804253472,-0.05995892416083177,-0.011150057234491756,0.0842191198235576,0.05097541513345844,0.002166548207118429,0.07523561079618428,1.9805672131181784e-05,0.03629756974152233,1,1,1,1
pp_sensitivity,fixed,6000,0,1.725128371490588,0.5491254155815972,-0.05966086861507014,-0.01174806193002647,0.09316261519279873,0.05067735958769681,0.002764552902653143,0.0841791061654254,-0.027615744361766364,6.1018335525242495e-05,1,1,0,1
pp_sensitivity,fixed,6000,1,1.7297275514105095,0.5505893800184463,-0.05969027078071341,-0.0116888341582819,0.09219517009810171,0.05070676175334008,0.0027053251309085737,0.08321166107072839,-0.011962460658051788,0.01904245993227316,1,1,0,1
pp_sensitivity,fixed,6000,2,1.734326731330431,0.5520533444552952,-0.05971940205883113,-0.011630164781308962,0.09111854301527701,0.050735893031457806,0.0026466557539356356,0.08213503398790369,0.003652333326992413,0.03881769742178716,1,1,1,1
pp_sensitivity,fixed,6000,3,1.7389259112503523,0.5535173088921441,-0.05974825928891166,-0.011572130889862696,0.08999067786141622,0.05076475026153834,0.002588621862489369,0.0810071688340429,0.014265715893909611,0.05281407200944288,1,1,1,1
pp_sensitivity,fixed,6000,4,1.7435250911702735,0.554981273328993,-0.059776839232101475,-0.011514791337478883,0.08894937488081771,0.05079333020472815,0.002531282310105557,0.07996586585344438,0.018184335933719487,0.05829222206202045,1,1,1,1
pp_sensitivity,fixed,6000,5,1.748124271090195,0.556445237765842,-0.05980513865405834,-0.011458157162159997,0.088035775354516,0.050821629626685016,0.002474648134786671,0.07905226632714267,0.01811506198601437,0.058502819274973236,1,1,1,1
pp_sensitivity,fixed,6000,6,1.7527234510101164,0.557909202202691,-0.05983315420594408,-0.011402185937170297,0.08722644828617786,0.050849645178570754,0.00241867690979697,0.07824293925880453,0.016279647114404702,0.05634228545399886,1,1,1,1
pp_sensitivity,fixed,6000,7,1.7573226309300378,0.55937316663954,-0.0598608825563728,-0.011346800399708363,0.08649267102886164,0.05087737352899947,0.002363291372335036,0.07750916200148832,0.013591703788334103,0.05304793622417059,1,1,1,1
pp_sensitivity,fixed,6000,8,1.7619218108499592,0.5608371310763889,-0.059888320275489994,-0.01129192098242385,0.08581445467706654,0.05090481124811667,0.002308411955050523,0.07683094564969321,0.01036754085372317,0.04906237150445525,1,1,1,1
pp_sensitivity,fixed,6000,9,1.7665209907698807,0.5623010955132379,-0.05991546391180502,-0.011237496958021027,0.08517888965739112,0.050931954884431696,0.0022539879306477002,0.0761953806300178,0.006727594329553291,0.04456067575841709,1,1,1,1
pp_sensitivity,fixed,6000,10,1.771120170689802,0.5637650599500869,-0.059942309971915256,-0.01118352311814844,0.0845782788163087,0.05095880094454193,0.0022000140907751133,0.07559476978893537,0.0027156186434203478,0.0396119816415917,1,1,1,1
pp_sensitivity,fixed,6000,11,1.7757193506097235,0.5652290243869358,-0.059968854878134734,-0.01113003634199458,0.0840090036049436,0.05098534585076141,0.002146527314621253,0.07502549457757027,-0.0016745249978355886,0.03421834352482507,1,1,0,1
pp_sensitivity,fixed,6000,12,1.780318530529645,0.5666929888237847,-0.05999509506485839,-0.011077095274527344,0.0834695115593912,0.05101158603748506,0.0020935862471540174,0.07448600253201787,-0.0064762566955461065,0.028347550404877672,1,1,0,1
pp_sensitivity,fixed,6000,13,1.7849177104495662,0.5681569532606336,-0.060021026841721094,-0.011024752820617628,0.08295773588379704,0.05103751781434777,0.0020412437932443017,0.07397422685642371,-0.011712651467211399,0.021982692171212403,1,1,0,1
pp_sensitivity,fixed,6000,14,1.7895168903694876,0.5696209176974826,-0.06004664653977146,-0.010973032991582645,0.08247051637375595,0.05106313751239813,0.0019895239642093183,0.07348700734638262,-0.017378664975618296,0.01514233177171978,1,1,0,1
pp_sensitivity,fixed,6000,15,1.794116070289409,0.5710848821343316,-0.06007195037578829,-0.010921920724268933,0.08200609088268465,0.05108844134841496,0.0019384116968956065,0.07302258185531132,-0.02347485860408824,0.00783608226930163,1,1,0,1
pp_sensitivity,fixed,6000,16,1.7987152502093304,0.5725488465711805,-0.060096934541830724,-0.010871367402491582,0.08156564173889215,0.0511134255144574,0.001887858375118255,0.07258213271151882,-0.030041689612612194,2.57184834965285e-05,1,1,0,1
pp_primary,scaled,3000,0,1.732465912925974,0.5514610275607639,-0.0597076421186749,-0.011653091958658927,0.09162725170547455,0.050724133091301575,0.002669582931285601,0.08264374267810122,4.373807108781769e-05,0.03443333126192995,1,1,1,1
pp_primary,scaled,3000,1,1.7350405577852173,0.5522805624728732,-0.05972389276011277,-0.011618910784281632,0.09098789447635498,0.050740383732739446,0.002635401756908306,0.08200438544898166,0.007954132472527145,0.0446517580034457,1,1,1,1
pp_primary,scaled,3000,2,1.7376152026444605,0.5531000973849826,-0.05974005736625809,-0.011585136389568377,0.09035559986379188,0.050756548338884766,0.0026016273621950504,0.08137209083641855,0.013631916581628378,0.05212849132697876,1,1,1,1
pp_primary,scaled,3000,3,1.7401898475037036,0.553919632297092,-0.05975613369836808,-0.01155179511189883,0.08974890067191636,0.050772624670994755,0.002568286084525504,0.08076539164454304,0.01714667681831275,0.05687854318199806,1,1,1,1
pp_primary,scaled,3000,4,1.7427644923629468,0.5547391672092014,-0.05977212487122181,-0.011518905172261252,0.08917542327936932,0.050788615843848486,0.002535396144887925,0.080191914251996,0.01885096099615656,0.05931325116218304,1,1,1,1
pp_primary,scaled,3000,5,1.74533913722219,0.5555587021213108,-0.059788029068872095,-0.011486470530961064,0.08863613632939477,0.05080452004149877,0.002502961503587737,0.07965262730202144,0.0192260917808197,0.060004868145791646,1,1,1,1
pp_primary,scaled,3000,6,1.7479137820814332,0.5563782370334202,-0.05980384183540751,-0.011454484512854671,0.08812837974788722,0.050820332808034184,0.0024709754854813446,0.07914487072051389,0.018706430577675112,0.0594954607274185,1,1,1,1
pp_primary,scaled,3000,7,1.7504884269406764,0.5571977719455296,-0.05981956752544201,-0.011422932039346885,0.08764919792695007,0.05083605849806869,0.002439423011973559,0.07866568889957674,0.017604085512267914,0.05820435924032584,1,1,1,1
pp_primary,scaled,3000,8,1.7530630717999196,0.5580173068576388,-0.059835204217765496,-0.011391786318218515,0.08719555119503597,0.05085169519039217,0.0024082772908451885,0.07821204216766264,0.01614341011069427,0.056427447486091964,1,1,1,1
pp_primary,scaled,3000,9,1.7556377166591628,0.5588368417697482,-0.05985075060721882,-0.011361015757726812,0.08676216122997898,0.05086724157984549,0.0023775067303534857,0.07777865220260566,0.014472787973416501,0.05435694293345719,1,1,1,1
pp_primary,scaled,3000,10,1.758212361518406,0.5596563766818576,-0.05986620539185307,-0.011330581851533624,0.08634402011656711,0.05088269636447974,0.0023470728241602977,0.07736051108919378,0.012657175607634782,0.05209869067887887,1,1,1,1
pp_primary,scaled,3000,11,1.7607870063776492,0.560475911593967,-0.05988156835993813,-0.011300442500000781,0.0859402822820196,0.050898059332564805,0.0023169334726274547,0.07695677325464627,0.01072836699176559,0.04970893778034606,1,1,1,1
pp_primary,scaled,3000,12,1.7633616512368924,0.5612954465060764,-0.05989684259590299,-0.01127055376326708,0.0855515585029412,0.050913333568529666,0.002287044735893754,0.07656804947556788,0.008726565095279137,0.04722667812243582,1,1,1,1
pp_primary,scaled,3000,13,1.7659362960961356,0.5621149814181858,-0.05991202185599818,-0.011240872210301447,0.08517644093742818,0.05092851282862485,0.0022573631829281206,0.07619293191005486,0.006670224687403983,0.04467092251755224,1,1,1,1
pp_primary,scaled,3000,14,1.7685109409553788,0.5629345163302952,-0.05992710713461161,-0.011211354468961602,0.08481488847875679,0.05094359810723828,0.0022278454415882755,0.07583137945138346,0.004540131068482264,0.04203467914588703,1,1,1,1
pp_primary,scaled,3000,15,1.771085585814622,0.5637540512424045,-0.05994210093410447,-0.011181962259238405,0.08447045230244271,0.050958591906731146,0.0021984532318650787,0.07548694327506938,0.0023205549819343557,0.03930353069055688,1,1,1,1
pp_primary,scaled,3000,16,1.7736602306738651,0.5645735861545139,-0.05995699979598388,-0.011152660662820028,0.08414485243862697,0.05097349076861055,0.0021691516354467016,0.07516134341125365,1.3036789371062563e-05,0.036467856589446235,1,1,1,1
