policy,T,phi_scan_index,phi,phi_over_pi,w_loc3_ABB,w_loc5_ABB,primary_mask_from_scan,sensitivity_mask_from_scan
fixed,3000,74,1.856593991808968,0.5909722222222222,0.2521895794820221,0.2863069544519982,0,0
fixed,3000,75,1.8598664841564574,0.5920138888888888,0.2606125580519622,0.29521300581983867,0,0
fixed,3000,76,1.8631389765039468,0.5930555555555556,0.26913214003806735,0.304171996449234,0,0
fixed,3000,77,1.8664114688514362,0.5940972222222223,0.27774713391786227,0.31315718803709003,0,0
fixed,3000,78,1.8696839611989255,0.5951388888888889,0.2863770804947557,0.32208730501517835,0,0
fixed,3000,79,1.872956453546415,0.5961805555555556,0.2949223892012627,0.33090109566403647,0,0
fixed,3000,80,1.8762289458939043,0.5972222222222222,0.30337965667307015,0.3396271664392755,0,0
fixed,6000,0,1.6144295580947547,0.5138888888888888,0.32923489015331187,0.3510627169308638,0,0
fixed,6000,1,1.6177020504422441,0.5149305555555556,0.32626958798533745,0.34842927212717395,0,0
fixed,6000,2,1.6209745427897335,0.5159722222222222,0.3232203799853335,0.34571791860356715,0,0
fixed,6000,3,1.624247035137223,0.5170138888888889,0.32008180076980364,0.34292383835812695,0,0
fixed,6000,4,1.6275195274847123,0.5180555555555556,0.316847341450118,0.3400411879086421,0,0
fixed,6000,5,1.6307920198322017,0.5190972222222222,0.31351007555947474,0.33706315216711513,0,0
fixed,6000,6,1.634064512179691,0.5201388888888889,0.31006395985993274,0.33398305669714035,0,0
fixed,6000,7,1.6373370045271802,0.5211805555555555,0.3065037641414764,0.3307944960881174,0,0
fixed,6000,8,1.6406094968746696,0.5222222222222221,0.3028234362917704,0.3274897542895466,0,0
fixed,6000,9,1.643881989222159,0.5232638888888889,0.2990154858106601,0.32405947985889144,0,0
fixed,6000,10,1.6471544815696484,0.5243055555555556,0.29507206961700105,0.3204948350518428,0,0
fixed,6000,11,1.6504269739171378,0.5253472222222222,0.29098441560620647,0.31678732606608184,0,0
fixed,6000,12,1.6536994662646272,0.5263888888888889,0.28674029245795657,0.3129250175286147,0,0
fixed,6000,13,1.6569719586121165,0.5274305555555555,0.2823260767619686,0.30889370471287164,0,0
fixed,6000,14,1.660244450959606,0.5284722222222222,0.27773270484010176,0.30468247493524464,0,0
fixed,6000,15,1.6635169433070953,0.5295138888888888,0.2729523506873193,0.300278876505674,0,0
fixed,6000,16,1.6667894356545847,0.5305555555555556,0.26797135312650094,0.2956633495513003,0,0
fixed,6000,17,1.670061928002074,0.5315972222222223,0.26277828481953297,0.2908215766060742,0,0
fixed,6000,18,1.6733344203495635,0.5326388888888889,0.25736141693182085,0.28574033828410794,0,0
