phi_index,phi,phi_over_pi,policy,T,T0,T1,v_fit_A,v_fit_B,v_fit_ABB,deltaP_late_mean_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,stable_A,stable_B,stable_ABB,strict_raw,drift_raw,strict_stage3,drift_stage3,pp_primary,pp_sensitivity,mismatch_sign,mismatch_eligible,adv_v
11,0.9599310885968813,0.3055555555555556,scaled,3000,2000,2500,-0.052641354992100084,-0.04772209590845211,0.11154378869499611,0.37251131856753655,0.5733148465339079,0.5796169666508406,0.18413512391732695,1,1,1,1,1,1,1,0,0,0,1,0.1592658846034482
11,0.9599310885968813,0.3055555555555556,scaled,6000,4000,5000,-0.0526413518999908,-0.04773638812622408,0.11154447504772702,0.37267078428462236,0.5733164134062247,0.5796172233376731,0.18405408236938134,1,1,1,1,1,1,1,0,0,0,1,0.1592808631739511
12,1.0471975511965976,0.3333333333333333,fixed,3000,200,250,-0.05354411798362456,-0.037606886242142534,0.12009540391465115,0.4008987492002562,0.5539753580266323,0.560592059699127,0.17427121328403963,1,1,1,1,1,1,1,0,0,0,1,0.15770229015679368
12,1.0471975511965976,0.3333333333333333,fixed,6000,200,250,-0.05354410554076858,-0.037607491481352076,0.12009572516453453,0.40102087032739897,0.5539742136880516,0.5605897221536005,0.1742285359782827,1,1,1,1,1,1,1,0,0,0,1,0.1577032166458866
12,1.0471975511965976,0.3333333333333333,scaled,3000,2000,2500,-0.05354410156455311,-0.03760236740358185,0.12009382963443967,0.40079758433087587,0.5539806389933261,0.5605879637965818,0.17439641711803594,1,1,1,1,1,1,1,0,0,0,1,0.1576961970380215
12,1.0471975511965976,0.3333333333333333,scaled,6000,4000,5000,-0.053544100152713305,-0.03760642275619665,0.12009573098308096,0.4011109881471475,0.5539703396056688,0.5605870994726228,0.1742966690255491,1,1,1,1,1,1,1,0,0,0,1,0.1577021537392776
13,1.1344640137963142,0.3611111111111111,fixed,3000,200,250,-0.05444243737530901,-0.03039771240387295,0.12720833692261374,0.4267529002185274,0.5315772292909715,0.5386928595362929,0.16369262653591335,1,1,1,1,1,1,1,0,0,0,1,0.1576060493264867
13,1.1344640137963142,0.3611111111111111,fixed,6000,200,250,-0.05444242607645654,-0.030397209482369285,0.12720855232365622,0.42689176368317766,0.531575025039352,0.538689424314272,0.16364934612555262,1,1,1,1,1,1,1,0,0,0,1,0.1576057618060255
13,1.1344640137963142,0.3611111111111111,scaled,3000,2000,2500,-0.054442422666795394,-0.030396743276218455,0.12720843675203536,0.4263996386819643,0.5315797635010358,0.5386866020105257,0.16383867355090326,1,1,1,1,1,1,1,0,0,0,1,0.1576051800282538
13,1.1344640137963142,0.3611111111111111,scaled,6000,4000,5000,-0.054442420904379354,-0.03040041439059182,0.1272089154682793,0.4267757696266158,0.5315775970240018,0.5386864642940373,0.1637479758093304,1,1,1,1,1,1,1,0,0,0,1,0.15760932985887113
14,1.2217304763960306,0.3888888888888889,fixed,3000,200,250,-0.05532681199939464,-0.025155215923142495,0.1325307119417029,0.4502658848353062,0.5062822458118772,0.5141394025372891,0.1525727427707018,1,1,1,1,1,1,1,0,0,0,1,0.1576859278648454
14,1.2217304763960306,0.3888888888888889,fixed,6000,200,250,-0.05532680109358522,-0.025155920714521458,0.1325302110642579,0.45026707758064816,0.5062814508596428,0.5141339376492278,0.15254301234940051,1,1,1,1,1,1,1,0,0,0,1,0.15768613177877938
14,1.2217304763960306,0.3888888888888889,scaled,3000,2000,2500,-0.0553267982759352,-0.0251528171463478,0.13253549329264158,0.4504314363193523,0.5062845765452932,0.514128917190291,0.15265708227626046,1,1,1,1,1,1,1,0,0,0,1,0.15768831043898937
14,1.2217304763960306,0.3888888888888889,scaled,6000,4000,5000,-0.05532679580695937,-0.0251589123808299,0.1325299872990759,0.45063652195104603,0.5062748728701634,0.5141282101966341,0.15256279473774406,1,1,1,1,1,1,1,0,0,0,1,0.1576888996799058
15,1.3089969389957472,0.4166666666666667,fixed,3000,200,250,-0.05618805445434789,-0.02125481340731425,0.13548840459481445,0.4701168583781091,0.47810301041952047,0.4870398088463101,0.14120535689147234,1,1,1,1,1,1,1,0,0,0,1,0.1567432180021287
15,1.3089969389957472,0.4166666666666667,fixed,6000,200,250,-0.05618804190564546,-0.021254289989799245,0.13548825600726058,0.4701636821076495,0.4780986714069902,0.4870298564453822,0.14117244494476494,1,1,1,1,1,1,1,0,0,0,1,0.15674254599705983
15,1.3089969389957472,0.4166666666666667,scaled,3000,2000,2500,-0.056188039603313276,-0.021254039175451052,0.13549107480093203,0.46969561066458043,0.4781065150245042,0.4870213539392853,0.14135407882344267,1,1,1,1,1,1,1,0,0,0,1,0.15674511397638308
15,1.3089969389957472,0.4166666666666667,scaled,6000,4000,5000,-0.056188035982414924,-0.02125255027119709,0.13548682411058918,0.4701157872698826,0.47810071471525145,0.48702092787301304,0.14125217965225143,1,1,1,1,1,1,1,0,0,0,1,0.15673937438178628
16,1.3962634015954636,0.4444444444444444,fixed,3000,200,250,-0.05701686321033332,-0.01828312596496394,0.135245183546548,0.4859210103415482,0.4465771046443269,0.4571676454956524,0.12945785178193017,1,1,1,1,1,1,1,0,0,0,1,0.15352830951151192
16,1.3962634015954636,0.4444444444444444,fixed,6000,200,250,-0.05701684775157874,-0.01828380332811102,0.1352441602044777,0.4857088757958599,0.4465778567132176,0.457149653275108,0.1294572720159955,1,1,1,1,1,1,1,0,0,0,1,0.1535279635325887
16,1.3962634015954636,0.4444444444444444,scaled,3000,2000,2500,-0.0570168440708043,-0.018282807719737084,0.13524581012211884,0.48667224330348846,0.44653954193901785,0.45712952319392886,0.12943699928811153,1,1,1,1,1,1,1,0,0,0,1,0.15352861784185592
16,1.3962634015954636,0.4444444444444444,scaled,6000,4000,5000,-0.057016840691037546,-0.018282630857653293,0.1352414523240198,0.4858337125730638,0.44656791083710107,0.4571317252742187,0.12948880938251758,1,1,1,1,1,1,1,0,0,0,1,0.1535240831816731
17,1.48352986419518,0.4722222222222222,fixed,3000,200,250,-0.05780334244759736,-0.015975404861400106,0.13068811145681236,0.49382192888364523,0.4100202810784897,0.42329535997442325,0.11683725339708428,1,1,1,1,1,1,1,0,0,0,1,0.14666351631821248
17,1.48352986419518,0.4722222222222222,fixed,6000,200,250,-0.057803323684704255,-0.01597557383964692,0.13068833087410375,0.4941031256904597,0.41000993360168214,0.42325359250263056,0.11676528882693867,1,1,1,1,1,1,1,0,0,0,1,0.14666390471375068
17,1.48352986419518,0.4722222222222222,scaled,3000,2000,2500,-0.057803319346428295,-0.0159592088010542,0.1306877365274098,0.4933112520263652,0.41001562709525224,0.42321768612755795,0.11702457813105821,1,1,1,1,1,1,1,0,0,0,1,0.146646945328464
17,1.48352986419518,0.4722222222222222,scaled,6000,4000,5000,-0.057803315246031786,-0.015973773742528962,0.13068786061102122,0.494620780500409,0.4099897883649712,0.4232133200409821,0.11672478388885571,1,1,1,1,1,1,1,0,0,0,1,0.14666163435355017
18,1.5707963267948966,0.5,fixed,3000,200,250,-0.058536439489124084,-0.014151986256237821,0.12070776092593674,0.48692784347376294,0.3626290602193886,0.3807248296008987,0.10113319166158449,1,1,1,1,1,1,1,0,0,0,1,0.13485974718217456
18,1.5707963267948966,0.5,fixed,6000,200,250,-0.058536417370470654,-0.014149932715281439,0.12070714064356156,0.48718993602919447,0.3625759367916131,0.3805946561536443,0.10106337886565533,1,1,1,1,1,1,1,0,0,0,1,0.134857073358843
18,1.5707963267948966,0.5,scaled,3000,2000,2500,-0.05853641253312836,-0.014149627250727754,0.12069448803105247,0.4870363139039517,0.36252971042210386,0.38048349338362425,0.10116276225589044,1,1,1,1,1,1,1,0,0,0,1,0.13484411528178022
18,1.5707963267948966,0.5,scaled,6000,4000,5000,-0.058536407450606696,-0.014145806625556426,0.12070608089090197,0.4874943775177268,0.36252422609306556,0.3804716088181539,0.10106939452753137,1,1,1,1,1,1,1,0,0,0,1,0.1348518875164584
19,1.658062789394613,0.5277777777777778,fixed,3000,200,250,-0.05920323832893327,-0.012684108464975693,0.1057388128501602,0.44137296993306774,0.2812290453464219,0.30816539721080194,0.07488758057321591,1,1,1,1,1,1,1,0,0,0,1,0.11842292131513589
19,1.658062789394613,0.5277777777777778,fixed,6000,200,250,-0.059203212560776486,-0.012684541017212189,0.10573912388828521,0.44074113523616487,0.28081650016168924,0.30751190655858274,0.0748924377410373,1,1,1,1,1,1,1,0,0,0,1,0.1184236649054974
19,1.658062789394613,0.5277777777777778,scaled,3000,2000,2500,-0.05920320677131495,-0.012668401503384608,0.1057406868014246,0.44142885395268555,0.2805212886500638,0.307135898079576,0.0747500613769055,1,1,1,1,1,1,1,0,0,0,1,0.1184090883048092
19,1.658062789394613,0.5277777777777778,scaled,6000,4000,5000,-0.059203200972387834,-0.012682644998642054,0.10573642288432783,0.4404608652302659,0.28038293579674517,0.30685592305416426,0.07486614996719095,1,1,1,1,1,1,1,0,0,0,1,0.11841906788296988
20,1.7453292519943295,0.5555555555555556,fixed,3000,200,250,-0.05978800466371084,-0.011491858314938262,0.0885991374771518,0.2999945602417388,0.08371996553367496,0.09449342000757154,0.0187614945013826,1,1,1,1,1,1,1,1,1,0,1,0.10009099579209006
