label,sequence,phi,phi_over_pi,policy,metric_name,n_points,T_min,T_max,limit_estimate_deg1,rmse_deg1,limit_estimate_deg2,rmse_deg2
paper_max_T300,B,1.0471975511965976,0.3333333333333333,scaled,w_loc5,6,3000,12000,0.730018037299208,2.037581327198029e-07,0.7300177850618305,1.990913520082325e-07
paper_max_T300,B,1.0471975511965976,0.3333333333333333,scaled,P0bar,6,3000,12000,0.2781471155320487,3.752951018515587e-05,0.27818364276551577,3.700052494412751e-05
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,fixed,v_fit,6,3000,12000,0.12009579812514634,8.45860530824935e-08,0.12009537255711907,4.2464736686652306e-08
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,fixed,deltaP_late_mean,6,3000,12000,0.40102488797541835,3.394368822017974e-05,0.40087747505028615,2.258449717597947e-05
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,fixed,w_loc3,6,3000,12000,0.5539755306742874,6.241614650360357e-07,0.5539778360799352,4.822118072135846e-07
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,fixed,w_loc5,6,3000,12000,0.5605876275881454,6.429919749625704e-08,0.5605877609377504,6.007449376077168e-08
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,fixed,P0bar,6,3000,12000,0.17419043580942567,6.040698946432695e-06,0.17421456381889167,4.39179134510818e-06
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,scaled,v_fit,6,3000,12000,0.12009652456774177,3.717944139045982e-07,0.12009445207614658,1.0635796945024932e-07
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,scaled,deltaP_late_mean,6,3000,12000,0.40105476930133876,0.00015381225925398934,0.40058744569380483,0.00013116778104449385
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,scaled,w_loc3,6,3000,12000,0.553973155951408,3.124025942977044e-06,0.5539837235457086,2.5415925643032815e-06
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,scaled,w_loc5,6,3000,12000,0.5605874842376242,2.779575427437192e-07,0.5605880957740375,2.5731263651956403e-07
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,scaled,P0bar,6,3000,12000,0.17417696728491944,2.5537629293157605e-05,0.1742559795762456,2.162633660425218e-05
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,fixed,v_fit,6,3000,12000,-0.052317220085627295,5.432739123868077e-10,-0.05231722324259235,2.5486289841734016e-11
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,fixed,deltaP_late_mean,6,3000,12000,-0.06452564536138522,5.140956646455795e-10,-0.06452564547558898,5.137207024574604e-10
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,fixed,w_loc3,6,3000,12000,0.4940109064380631,1.790704496364846e-08,0.4940108053091966,4.297004614462619e-09
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,fixed,w_loc5,6,3000,12000,0.5245158935769529,4.3584831657316e-09,0.5245158770251153,3.301675305035789e-09
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,fixed,P0bar,6,3000,12000,0.1429120159165653,1.8923610482868923e-07,0.14291311648885774,4.349850582351281e-09
