label,sequence,phi,phi_over_pi,policy,T,T0,T1,v_fit,v_fit2,v_T,delta_v,deltaP_late_mean,deltaP_final,w_loc3,w_loc5,P0bar,x_mean_final,stable
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,12000,8000,10000,0.10815446472346235,0.10815448519617891,0.10815213533965709,4.6697357499889125e-05,0.36206316054908555,0.44778513297773853,0.5794841516437752,0.5857161020263179,0.18719225162730177,1297.8256240758851,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,300,200,250,-0.05983959629476887,-0.059840663235320044,-0.059815456603050286,6.05807793562646e-06,-0.07434962420623596,-0.07415234100032125,0.62714649898937,0.6436069317207629,0.21205184054379841,-17.944636980915085,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,600,200,250,-0.05983890261920777,-0.05983886344533857,-0.059828880677058764,1.9482151944104353e-05,-0.07436321846831812,-0.07444880863291253,0.6272191661010148,0.6436179474850446,0.21049949943852483,-35.89732840623526,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,900,200,250,-0.05983868939068747,-0.05983865814733395,-0.05983175579732918,2.2357272214522383e-05,-0.07436494225908663,-0.07436268871723634,0.6272294053414305,0.6436193501191245,0.2102757071562293,-53.848580217596265,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,1200,200,250,-0.05983858991552548,-0.05983856758335972,-0.05983335842368534,2.395989857068015e-05,-0.07436526306444277,-0.07434000304534394,0.6272334017602983,0.6436198481447231,0.2101860251837804,-71.8000301084224,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,1500,200,250,-0.059838540788256074,-0.05983852477508656,-0.05983448716038529,2.508863527062727e-05,-0.07436565702733881,-0.07438712009518128,0.6272356169780853,0.6436201494995768,0.2101377310568666,-89.75173074057793,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,2000,200,250,-0.059838495233333976,-0.05983848504216849,-0.059835451299615046,2.6052774500386067e-05,-0.07436600851732968,-0.07437582123813602,0.6272376635802119,0.6436204248080916,0.21009298901614898,-119.67090259923009,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,3000,200,250,-0.05983845461529771,-0.059838449395827636,-0.05983641968195972,2.7021156845059846e-05,-0.07436628441667104,-0.0743594519085452,0.6272395377201875,0.6436206650368685,0.21005141322105145,-179.50925904587916,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,4000,200,250,-0.059838437227605484,-0.05983843404669875,-0.05983692839285362,2.7529867738962377e-05,-0.07436643728593728,-0.07437182059324099,0.6272404351815233,0.6436207840000274,0.21003171886724548,-239.3477135714145,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,6000,200,250,-0.0598384222862678,-0.05983842073558344,-0.05983741953221454,2.8021007099879314e-05,-0.07436657900323759,-0.0743686149353045,0.6272412975721688,0.6436208964174651,0.21001269756912447,-359.02451719328724,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,8000,200,250,-0.05983841602957176,-0.059838415109647415,-0.0598376653501808,2.8266825066139423e-05,-0.07436664982314585,-0.0743665753062045,0.6272417183805763,0.6436209515165185,0.21000342985615933,-478.7013228014464,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,10000,200,250,-0.059838412761860645,-0.05983841215195979,-0.059837813199771654,2.8414674656994376e-05,-0.074366692281006,-0.07436577168775277,0.6272419676647667,0.6436209842466067,0.20999794463456103,-598.3781319977165,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,12000,200,250,-0.05983841081980134,-0.059838410385353806,-0.059837911988061494,2.851346294683449e-05,-0.07436672044754412,-0.0743659446157946,0.627242132465907,0.6436210058895543,0.20999431867568338,-718.054943856738,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,300,200,250,-0.05983959629476887,-0.059840663235320044,-0.059815456603050286,6.05807793562646e-06,-0.07434962420623596,-0.07415234100032125,0.62714649898937,0.6436069317207629,0.21205184054379841,-17.944636980915085,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,600,400,500,-0.05983863739043519,-0.05983875136218829,-0.059828880677058764,3.4395760633437744e-06,-0.07436564819355448,-0.07444880863291253,0.6271979755609625,0.6436156175594792,0.21102120743954564,-35.89732840623526,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,900,600,750,-0.05983850835374204,-0.05983854026509895,-0.05983175579732918,1.5599097450552657e-06,-0.07436751736364479,-0.07436268871723634,0.6272133433642998,0.6436176374378941,0.21067427857230195,-53.848580217596265,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,1200,800,1000,-0.05983843589106683,-0.05983836279719467,-0.05983335842368534,9.837095824097308e-07,-0.07436695133002705,-0.07434000304534394,0.6272205503129257,0.6436183965938669,0.21050019792400781,-71.8000301084224,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,1500,1000,1250,-0.059838433012810305,-0.05983840602481592,-0.05983448716038529,8.992542091246225e-07,-0.07436697805885506,-0.07438712009518128,0.627225042612161,0.6436189479766788,0.21039569387766385,-89.75173074057793,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,2000,1333,1666,-0.05983843042900826,-0.05983842289809873,-0.059835451299615046,6.438479037695899e-07,-0.07436677666947912,-0.07437582123813602,0.6272429154597463,0.6436211008517897,0.2099765339517104,-119.67090259923009,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,3000,2000,2500,-0.05983841486985526,-0.059838413806567306,-0.05983641968195972,4.0247856719632935e-07,-0.07436679034228065,-0.0743594519085452,0.6272339356577127,0.6436200003128312,0.21018630450059902,-179.50925904587916,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,4000,2666,3333,-0.05983841061253894,-0.059838409639502016,-0.05983692839285362,3.055733185583498e-07,-0.07436684371784999,-0.07437182059324099,0.6272362050879018,0.6436202874751822,0.21013383610232725,-239.3477135714145,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,scaled,6000,4000,5000,-0.05983840754128578,-0.05983840715804266,-0.05983741953221454,2.0161417330771814e-07,-0.07436685082185251,-0.0743686149353045,0.627238446114732,0.6436205613931427,0.2100814851449441,-359.02451719328724,1
