region,phi_grid_index,phi,phi_over_pi,region_center_phi,region_center_phi_over_pi,region_halfwidth,region_halfwidth_over_pi,policy,T,T0,T1,v_fit_A,v_fit_B,v_fit_ABB,v_fit2_A,v_fit2_B,v_fit2_ABB,v_T_A,v_T_B,v_T_ABB,delta_v_A,delta_v_B,delta_v_ABB,deltaP_late_mean_ABB,deltaP_final_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,stable_A,stable_B,stable_ABB,strict_raw,drift_raw,strict_stage3,drift_stage3,pp_primary,pp_sensitivity,mismatch_sign,adv_v
max_region,172,1.079195254149827,0.3435185185185185,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,1500,200,250,-0.05387455940540966,-0.03468346786445846,0.12288477272095,-0.05387455570050566,-0.034672713062320046,0.12288231049348201,-0.05387758043653859,-0.03482507930497124,0.1227820433112319,1.7198750307909072e-05,0.0030116939217199115,0.0022262404498934463,0.4105820113576214,0.45150799471625647,0.5461066305880548,0.5528892956422348,0.17055750211161577,1,1,1,1,1,1,1,0,0,0,0.15756824058540847
max_region,172,1.079195254149827,0.3435185185185185,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,3000,200,250,-0.053874529927870445,-0.03468307617687893,0.12288581214063365,-0.0538745285174602,-0.03468085226965685,0.12288533133030433,-0.05387604247191561,-0.0347670146284286,0.12285676094268577,1.873671493089063e-05,0.0030697585982625494,0.0023009580813473235,0.4108768030994682,0.48477352390488126,0.546105688040228,0.5528832880303252,0.17045405302836858,1,1,1,1,1,1,1,0,0,0,0.1575688883175126
max_region,172,1.079195254149827,0.3435185185185185,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,scaled,1500,1000,1250,-0.05387452963140252,-0.03462178802684744,0.12288126741097383,-0.05387455747217776,-0.03444236396458948,0.12285669921638297,-0.05387758043653859,-0.03482507930497124,0.1227820433112319,5.82516039245029e-07,0.0006666789988867133,0.00036011834330273995,0.41009435324302723,0.45150799471625647,0.5461191219868763,0.5528787354749904,0.17092905318493512,1,1,1,1,1,1,1,0,0,0,0.15750305543782128
max_region,172,1.079195254149827,0.3435185185185185,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,scaled,3000,2000,2500,-0.05387451573364179,-0.034669418737040686,0.12288599656784215,-0.053874517409909395,-0.034630899333597295,0.12289527300610095,-0.05387604247191561,-0.0347670146284286,0.12285676094268577,2.9796229512879524e-07,0.000345164122577242,0.00021060528558482228,0.4114642201840142,0.48477352390488126,0.5460937593602497,0.5528770419105281,0.17051666616773153,1,1,1,1,1,1,1,0,0,0,0.15755541530488282
max_region,173,1.0806496951931557,0.3439814814814815,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,1500,200,250,-0.053889555315429695,-0.03456008266973989,0.12300673537221572,-0.05388955336435461,-0.0345494265653051,0.12300423899357567,-0.05389254683286746,-0.03473515376250747,0.12290585568432075,1.6980558377850674e-05,0.002999624059104672,0.002231035089652028,0.4110071211710169,0.45334516705709327,0.5457397633546288,0.5525300404099114,0.17038310694267544,1,1,1,1,1,1,1,0,0,0,0.1575668180419556
max_region,173,1.0806496951931557,0.3439814814814815,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,3000,200,250,-0.053889526510105916,-0.03455910948048806,0.12300784770828307,-0.05388952546975956,-0.03455690860760805,0.12300736126676413,-0.053891028566800996,-0.03466405870683437,0.12297593605680379,1.8498824444317108e-05,0.00307071911477777,0.0023011154621350727,0.41131636444241376,0.4811644927516606,0.5457382307905657,0.5525239132366947,0.17027893466665553,1,1,1,1,1,1,1,0,0,0,0.15756695718877112
max_region,173,1.0806496951931557,0.3439814814814815,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,scaled,1500,1000,1250,-0.05388952381202289,-0.03450827546212758,0.12300243667065142,-0.05388954975335004,-0.03436741933578729,0.12297893724867848,-0.05389254683286746,-0.03473515376250747,0.12290585568432075,5.862808971635047e-07,0.0006973143671120674,0.000363427821048104,0.41052422512384107,0.45334516705709327,0.5457525347395096,0.5525193774867949,0.1707535087770741,1,1,1,1,1,1,1,0,0,0,0.157510712132779
max_region,173,1.0806496951931557,0.3439814814814815,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,scaled,3000,2000,2500,-0.05388951290598351,-0.03455196649457304,0.12300814468190208,-0.05388951376526664,-0.0345384286641239,0.12301860425585653,-0.053891028566800996,-0.03466405870683437,0.12297593605680379,2.971664538539698e-07,0.0003704014409251985,0.00020754920546788014,0.41190323118241506,0.4811644927516606,0.5457255408110634,0.5525175480768164,0.17034196353120665,1,1,1,1,1,1,1,0,0,0,0.15756011117647511
max_region,174,1.0821041362364843,0.34444444444444444,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,1500,200,250,-0.053904548724993326,-0.03443761497277206,0.12312827733988466,-0.05390454845852147,-0.034427095005856695,0.12312574766597668,-0.05390750710959885,-0.03463536322337999,0.12302933545554255,1.6743284308930184e-05,0.00299149885181145,0.0022359190393288902,0.4114322953227025,0.4552600072045055,0.5453720255637668,0.552169996105377,0.17020843976597289,1,1,1,1,1,1,1,0,0,0,0.15756589231265672
max_region,174,1.0821041362364843,0.34444444444444444,1.0035643198967394,0.3194444444444444,0.17453292519943295,0.05555555555555555,fixed,3000,200,250,-0.05390452075783474,-0.034435870441836706,0.12312945143696527,-0.05390452007470733,-0.034433697914943634,0.12312895925259057,-0.05390600828447222,-0.03453596334210565,0.12309460635875878,1.8242109435559484e-05,0.003090898733085788,0.0023011899425451204,0.41175366427041443,0.4774807905309453,0.5453699539776431,0.5521637596388896,0.17010375351645338,1,1,1,1,1,1,1,0,0,0,0.15756532187880198
