phi_index,phi,phi_over_pi,v_fit_A,v_fit2_A,v_T_A,delta_v_A,stable_A,v_fit_B,v_fit2_B,v_T_B,delta_v_B,stable_B,v_fit_ABB,v_fit2_ABB,v_T_ABB,delta_v_ABB,stable_ABB,adv_v,deltaP_late_mean_ABB,deltaP_final_ABB,w_loc3_ABB,w_loc5_ABB,P0bar_ABB,strict,win_ABB,pp_primary,pp_sensitivity,mismatch_sign
30,2.6179938779914944,0.8333333333333334,-0.056048975045185544,-0.056269883552519266,-0.056251462499454875,0.00048721523331094613,1,-0.005071188614549531,-0.0009854931425557906,-0.006660592991544263,0.0036886205932789105,0,0.02076082667344074,0.02140222717615037,0.020126820456262004,0.004515347311083131,1,0.02583201528799027,0.4736245397297388,0.11633046336673547,0.7534079492143605,0.7812994731599456,0.2194009463915584,0,1,0,0,0
31,2.705260340591211,0.8611111111111112,-0.05522440812872766,-0.0551102242558594,-0.05506148675359431,0.000604935891046314,1,-0.0049878997158200825,-0.0011627762117021041,-0.00652090632370547,0.0037312470082649994,0,0.008502905094915024,0.00025668795176976924,0.013083756567215079,0.004118748567855251,0,0.013490804810735106,0.46012372404854907,0.26521296131966365,0.7090203693171587,0.7426309549663377,0.2077773779584902,0,0,0,0,0
32,2.792526803190927,0.8888888888888888,-0.054506528098220465,-0.05425355885050752,-0.05485243057281463,0.0006210452158820559,1,-0.004930808958211928,-0.0013433746280784532,-0.00640815388745128,0.003737979595696234,0,0.013396372798342819,0.012127399498635477,0.015783463772297838,0.0018690678776453057,1,0.018327181756554747,0.45485750695263005,0.48115515911424644,0.5958637490548302,0.6221043528731299,0.1823242265977063,0,1,0,0,0
33,2.8797932657906435,0.9166666666666666,-0.05400385010092788,-0.05426775621324547,-0.054081364690767915,0.00039685422655268143,1,-0.004892458780061105,-0.0015029206535711965,-0.006321359899190802,0.0037274168366846815,0,0.025132456584369318,0.025663585126860504,0.02370338241239345,0.0013111261592678447,1,0.030024915364430423,0.455432842381932,0.43916450872117396,0.5087059514338407,0.5238016952248702,0.15400688683344546,0,1,0,0,0
34,2.96705972839036,0.9444444444444444,-0.05357241173884508,-0.05387315504109469,-0.053449819510149224,0.0006449433827164647,1,-0.004867829306734889,-0.0016252389422728522,-0.006259832856068714,0.0037118629506670458,0,0.035881461074350605,0.03677319730969016,0.032282436125563765,0.0013139972888718474,1,0.0407492903810855,0.4315202272364963,0.41587523948197613,0.46576977591655105,0.4821105415783409,0.13283399370169596,0,1,0,0,0
35,3.0543261909900767,0.9722222222222222,-0.05331803603540478,-0.05348878538451381,-0.05322994734088053,0.0006480182598970555,1,-0.004854216471322953,-0.0017019412907868059,-0.006223101284297272,0.003699051334651201,0,0.043100542480530614,0.04289115171552786,0.03897372776805026,0.0008881016633198388,1,0.04795475895185357,0.3880377695304109,0.3496984281174497,0.4166701577195977,0.43387166788782106,0.11016587762918698,0,1,0,0,0
36,3.141592653589793,1.0,-0.053239617881800545,-0.05335556527248213,-0.05318703797825772,0.0005869579637308164,1,-0.004849940900834541,-0.0017282395964989337,-0.006210888004275595,0.0036941080431352655,0,0.04809669963141539,0.04748597996245382,0.04438667356972339,0.000893862847250515,1,0.052946640532249935,0.3476137287809197,0.33525614711859275,0.36064206894716627,0.3761919805699398,0.08706077185742932,0,1,0,0,0
37,3.2288591161895095,1.0277777777777777,-0.05331803603540489,-0.053488785384513765,-0.05322994734088039,0.0006480182598970832,1,-0.0048542164713229665,-0.0017019412907868553,-0.006223101284297273,0.0036990513346511814,0,0.04951557808536746,0.04921667748245016,0.04614132972421743,0.0006911223319446824,1,0.05436979455669043,0.29890866557091,0.28755790125595176,0.30755823215093,0.32425163045507155,0.06674862435094597,0,1,0,0,0
38,3.316125578789226,1.0555555555555556,-0.053572411738845346,-0.05387315504109537,-0.05344981951014951,0.0006449433827164161,1,-0.004867829306734901,-0.0016252389422728936,-0.006259832856068709,0.0037118629506670458,0,0.04467182824534746,0.045059604938053575,0.041655759386513405,0.0007789893420708724,1,0.04953965755208236,0.22686687341074993,0.23063407237636002,0.25770134494526714,0.2740596149179868,0.05062850622046457,0,1,0,0,0
39,3.4033920413889427,1.0833333333333335,-0.05400385010092817,-0.054267756213245325,-0.054081364690767963,0.0003968542265527439,1,-0.0048924587800610875,-0.0015029206535711332,-0.006321359899190793,0.00372741683668473,0,0.031707045252029525,0.03079737733800538,0.02940868746969914,0.0005221404885518872,1,0.03659950403209061,0.13709078253959994,0.1402390948172339,0.21538855753364383,0.23098814302318246,0.03930811411390821,0,1,0,0,0
