t,phi_index,phi,phi_over_pi,sequence,x_mean,deltaP,w_loc3_inst,w_loc5_inst,P0
790,12,1.0471975511965976,0.3333333333333333,ABB,94.94116878437072,0.473364990366156,0.5493942180302613,0.5602592806415184,0.3349650004874507
791,12,1.0471975511965976,0.3333333333333333,ABB,94.5755937436581,0.33488109343620004,0.5573262717991776,0.5608950394369121,0.0
792,12,1.0471975511965976,0.3333333333333333,ABB,95.08162908526927,0.4971824059653693,0.5533791549888394,0.5601864897718699,0.3835003526010692
793,12,1.0471975511965976,0.3333333333333333,ABB,95.14055583941368,0.3405528806885801,0.5586169860317697,0.5610870982971019,0.0
794,12,1.0471975511965976,0.3333333333333333,ABB,95.09637449772929,0.4681113145680891,0.5432185835654798,0.5595956267625691,0.29502329995746
795,12,1.0471975511965976,0.3333333333333333,ABB,95.38604709308953,0.5631367624800292,0.5575762500535222,0.5612236912421242,0.0
796,12,1.0471975511965976,0.3333333333333333,ABB,95.63807091384166,0.4620041692841374,0.5490031444608874,0.5602269369483993,0.3424804048920515
797,12,1.0471975511965976,0.3333333333333333,ABB,95.31938085145161,0.3617145801995014,0.5569234584594839,0.5608234814378871,0.0
798,12,1.0471975511965976,0.3333333333333333,ABB,95.77209845065293,0.48267280297822457,0.5525627547704093,0.5601891625561319,0.3903774796597993
799,12,1.0471975511965976,0.3333333333333333,ABB,95.7741807563719,0.2719816489636111,0.5583696519649044,0.5611183901646959,0.0
800,12,1.0471975511965976,0.3333333333333333,ABB,95.77018874969784,0.4471838625632979,0.543799955140654,0.5595179496224817,0.2908260701897506
801,12,1.0471975511965976,0.3333333333333333,ABB,96.02035907074199,0.48588520350838754,0.5574983960463226,0.5612589822120737,0.0
802,12,1.0471975511965976,0.3333333333333333,ABB,96.2889827466775,0.4292582721091072,0.550702438119933,0.5601477464635946,0.34683064710038947
803,12,1.0471975511965976,0.3333333333333333,ABB,95.95919351374242,0.31093281789119415,0.556972391446169,0.5608746031653167,0.0
804,12,1.0471975511965976,0.3333333333333333,ABB,96.42371508295231,0.44919955517771065,0.5525558155604388,0.560337346146839,0.4147325620847131
805,12,1.0471975511965976,0.3333333333333333,ABB,96.41124452611245,0.2107444897161343,0.5585141037553475,0.561105296946536,0.0
806,12,1.0471975511965976,0.3333333333333333,ABB,96.41035530781173,0.4100192044254522,0.5468449234136762,0.5595890947899604,0.2968573242893662
807,12,1.0471975511965976,0.3333333333333333,ABB,96.65958223835617,0.4128652694502538,0.557592099173819,0.5613270918403752,0.0
808,12,1.0471975511965976,0.3333333333333333,ABB,96.97616415448836,0.41352795278479,0.5524511169325994,0.5601585800800959,0.34321159196882245
809,12,1.0471975511965976,0.3333333333333333,ABB,96.58987691295235,0.24175707799309576,0.557412968880634,0.5609615234945609,0.0
810,12,1.0471975511965976,0.3333333333333333,ABB,97.11693674893999,0.4357602147285647,0.5533985951916225,0.5604282564251708,0.428410228237264
811,12,1.0471975511965976,0.3333333333333333,ABB,97.14886566505157,0.22793517241905675,0.558867352122659,0.5611304227235308,0.0
812,12,1.0471975511965976,0.3333333333333333,ABB,97.10990465662282,0.3998486946620515,0.5490611176661427,0.5597268307696116,0.30620428184866544
813,12,1.0471975511965976,0.3333333333333333,ABB,97.39743806879417,0.42894825491823063,0.5578594471453077,0.5613456608949576,0.0
814,12,1.0471975511965976,0.3333333333333333,ABB,97.73786347366267,0.43307341304538727,0.5521880948824798,0.5602849304311626,0.3358960252681448
815,12,1.0471975511965976,0.3333333333333333,ABB,97.31476017017141,0.23450984580475404,0.5578821792301927,0.5609807948318145,0.0
816,12,1.0471975511965976,0.3333333333333333,ABB,97.88254039078265,0.45786101944404084,0.5541943775863937,0.5604496318148179,0.4155643974451579
817,12,1.0471975511965976,0.3333333333333333,ABB,97.96637307429353,0.3033308484359917,0.559020152001778,0.5611481647511827,0.0
818,12,1.0471975511965976,0.3333333333333333,ABB,97.89255885199967,0.4284431659237622,0.547852151541425,0.5598589197094844,0.3082052313663867
819,12,1.0471975511965976,0.3333333333333333,ABB,98.21323217353043,0.5153382786003555,0.5580266288824771,0.5613188056836312,0.0
820,12,1.0471975511965976,0.3333333333333333,ABB,98.52551173530105,0.46493921597243515,0.5502817722864983,0.5603069689950592,0.3331000648276544
821,12,1.0471975511965976,0.3333333333333333,ABB,98.12880117597398,0.2976695645117834,0.5577252650378165,0.5609601918561787,0.0
822,12,1.0471975511965976,0.3333333333333333,ABB,98.66842547021744,0.48982492977443703,0.5539151943712928,0.5603364873307262,0.39090940472315666
823,12,1.0471975511965976,0.3333333333333333,ABB,98.7513719017347,0.34944793348410025,0.5587953698240009,0.5610769385563534,0.0
824,12,1.0471975511965976,0.3333333333333333,ABB,98.68667888453908,0.46256299399269707,0.5443879765177735,0.5597589409644281,0.3003024552158078
825,12,1.0471975511965976,0.3333333333333333,ABB,98.99724698293909,0.5716148570940471,0.557756676634561,0.5612577582329084,0.0
826,12,1.0471975511965976,0.3333333333333333,ABB,99.26199995316088,0.472185531816813,0.5489310918665593,0.5602113615356621,0.3382075929187442
827,12,1.0471975511965976,0.3333333333333333,ABB,98.92434350436139,0.3578740055009023,0.5570550262135955,0.5608752779581767,0.0
828,12,1.0471975511965976,0.3333333333333333,ABB,99.39951385665648,0.4945559215226104,0.5528803456899856,0.5601564847582309,0.3832063228032746
829,12,1.0471975511965976,0.3333333333333333,ABB,99.4295244954939,0.3126592264170339,0.5584575211096282,0.5610719028684004,0.0
830,12,1.0471975511965976,0.3333333333333333,ABB,99.40726718458134,0.4625262697582693,0.5428898438776056,0.5595095735444502,0.2916246967043244
831,12,1.0471975511965976,0.3333333333333333,ABB,99.67571969072955,0.5322742807686041,0.557436793703791,0.5612243777982829,0.0
832,12,1.0471975511965976,0.3333333333333333,ABB,99.92898800602674,0.4465006678863203,0.5496945164976949,0.5601756994510727,0.3454973070458414
833,12,1.0471975511965976,0.3333333333333333,ABB,99.61372810524642,0.3449177889011059,0.5568083611209805,0.5608127605817047,0.0
834,12,1.0471975511965976,0.3333333333333333,ABB,100.06278750922664,0.4664741357160009,0.5523896605585259,0.5602103113312886,0.4016144608172003
835,12,1.0471975511965976,0.3333333333333333,ABB,100.04947430647753,0.23555981182842173,0.5584109944547735,0.5611411995317221,0.0
