label,phi,phi_over_pi,L,mode_index,eigenphase,abs_eigenvalue_minus_1,w_loc3,w_loc5,P0,ipr,overlap_weight,tail_fit_ok,tail_kappa,tail_rmse_log,tail_d_min,tail_d_max,rank_by_w_loc5
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,14,-1.556317465760473,3.885780586188048e-15,0.049396915224222425,0.06544031234736389,0.010131472983820654,0.004272201196194323,0.004325051451885463,1,1.0493759123130251e-05,0.0054376374246578995,6,30,7
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,36,1.5404350216556069,1.5543122344752192e-15,0.049454709213029045,0.0653762417310019,0.00945801816370506,0.004268219069652825,0.004434363430537619,1,0.0,0.01583368381985052,6,30,8
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,40,1.60023549353696,1.5543122344752192e-15,0.04921671178411409,0.0652884847455574,0.01028910612138454,0.004272685686647893,0.004253717933070641,1,0.0,0.01571920528846439,6,30,9
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,10,-1.61607298478875,6.661338147750939e-16,0.04929676691618816,0.06516643372362083,0.009168254099618176,0.004265942219661796,0.004431110958550937,1,4.0499079161595756e-05,0.025755811714652698,6,30,10
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,16,-1.5263987458087822,5.773159728050814e-15,0.04896552116242428,0.06506114933061773,0.010413267497809527,0.004272850502902565,0.00416828082275056,1,3.573593980682487e-05,0.023374667796719897,6,30,11
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,34,1.5106286534328126,1.1102230246251565e-16,0.049044722089545766,0.06485973141639442,0.008847761470317973,0.004263216559974789,0.00440674256913463,1,0.00019204191366496928,0.03025171485935939,6,30,12
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,42,1.6301456278642004,1.2212453270876722e-15,0.04864883169220761,0.06476568032222035,0.010504026420604261,0.004272763310941844,0.004071187196093903,1,0.00017209111297373058,0.02612495371892411,6,30,13
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,8,-1.6458258924354696,3.885780586188048e-15,0.048697271161271684,0.06445782256015155,0.008498456825086374,0.004260117008920689,0.0043612355453173995,1,0.00042863372301447814,0.03595288578457009,6,30,14
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,18,-1.4965063362120599,5.662137425588298e-15,0.048271250553772065,0.0644088713222984,0.010561228626991454,0.004272480239280882,0.003965090335374683,1,0.00036237611665194594,0.030881411683244226,6,30,15
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,44,1.6600122457041182,0.0,0.047835979548006405,0.06399615658245099,0.010584271935246733,0.004272034904234795,0.0038527904912984486,1,0.0004792152660815183,0.03900235119470895,6,30,16
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,0,-3.075352064151571,1.7763568394002505e-15,0.990271596970646,0.9987865133978124,0.3659735690128734,0.27341222087226275,0.29253045804306516,1,1.1633567089473873,0.0920749939867061,6,40,1
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,1,0.06624058943822522,5.329070518200751e-15,0.990271596970646,0.9987865133978123,0.3659735690128726,0.27341222087226247,0.29253045804306477,1,1.1633567645700356,0.09207492230120325,6,40,2
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,2,2.6564961490738908,5.995204332975845e-15,0.981717028321298,0.994575670985446,0.2185759145053368,0.18545681061410083,0.0007863817003965807,1,0.9285787801461999,0.1143793113080649,6,40,3
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,3,-0.48509650451590697,2.4424906541753444e-15,0.9817170283212977,0.9945756709854457,0.21857591450533587,0.18545681061410074,0.0007863817003965799,1,0.9285787802289367,0.11437931114247975,6,40,4
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,429,2.3267313958665103,3.774758283725532e-15,0.022260332945224916,0.044556990598312,0.00046717630038736166,0.004364588593356594,0.00032312764278866603,1,0.0,0.6747621169447504,6,40,5
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,439,-0.8207292465370568,2.6645352591003757e-15,0.02289297895551802,0.044059053072538636,0.0003711631227267677,0.004245782719768961,0.0002990022948583815,1,0.0,0.6279970869165233,6,40,6
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,9,1.5831506014215104,2.55351295663786e-15,0.031832088018859006,0.044032384476246904,0.005538555670044105,0.0031477368813730274,0.00349161708325378,1,3.0771607973390427e-06,0.0025227676780854285,6,40,7
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,396,-0.7995264476551569,1.3322676295501878e-15,0.02024182676851208,0.04403215475576521,0.0003695070610524381,0.004404701423835318,0.0002780185241950987,1,0.0037080210716586913,0.7785324545873439,6,40,8
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,49,-1.569793659316213,4.551914400963142e-15,0.03183286620022138,0.04401482796762093,0.005449140349790783,0.0031475135018751137,0.0034878855032938988,1,1.833873250381912e-05,0.0009760750897302284,6,40,9
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,58,-1.547088470904512,2.220446049250313e-15,0.03175203656949947,0.04396936192496271,0.005599319919151232,0.0031477213756087087,0.0034846229702069466,1,0.0,0.009904396199502232,6,40,10
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,75,-1.7398664789765752,4.218847493575595e-15,0.03199219921461709,0.04396708014542526,0.004252851893727578,0.003166039358710262,0.002472489722031847,1,0.0004361643297013503,0.08331288641234234,6,40,11
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,79,1.390796167153597,5.10702591327572e-15,0.03197696409667773,0.04395090739248357,0.0041144584384894215,0.0031684598645681616,0.002427382875371632,1,0.0001446873101663318,0.08545091184164633,6,40,12
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,38,1.412706344576141,1.1102230246251565e-14,0.03195790592494164,0.04394217809338672,0.004375089162787677,0.003163627264283089,0.002510241372508819,1,0.0005767816249777662,0.07838436598902866,6,40,13
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,7,1.560449863689433,6.661338147750939e-15,0.03175374599169427,0.04391637341495506,0.005332577338253884,0.0031470680695064607,0.0034730301481957814,1,1.3545852179674496e-05,0.004636497381987449,6,40,14
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,78,-1.7616762190348634,6.217248937900877e-15,0.03190944320126857,0.04389132932975682,0.003960720820508243,0.00317096951734115,0.002375350344279607,1,0.0,0.09163451982308483,6,40,15
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,69,-1.7178568732146562,2.886579864025407e-15,0.03187749151876101,0.043878792350089846,0.0044807355077939905,0.0031611694332473904,0.0025404239597042475,1,0.00048512608742022807,0.0705222641265323,6,40,16
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,1,-3.075352064151568,6.8833827526759706e-15,0.9902715969706462,0.9987865133978124,0.36597356901287365,0.27341222087226275,0.29253045804306516,1,1.1633567179239714,0.09207497625893787,6,40,1
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,0,0.06624058943822396,3.774758283725532e-15,0.9902715969706462,0.9987865133978124,0.3659735690128734,0.27341222087226286,0.29253045804306504,1,1.163356749395576,0.09207494056883861,6,40,2
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,3,2.65649614907389,3.774758283725532e-15,0.981717028321298,0.9945756709854459,0.2185759145053373,0.1854568106141007,0.0007863817003965646,1,0.9285787804218707,0.11437931091382472,6,40,3
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,2,-0.48509650451590186,4.6629367034256575e-15,0.9817170283212978,0.9945756709854457,0.21857591450533667,0.18545681061410071,0.0007863817003965737,1,0.9285787799727465,0.1143793115533971,6,40,4
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,22,-1.5959241913058888,2.6645352591003757e-15,0.026728772221854886,0.03554842205060868,0.005113630316267488,0.002300961606342207,0.0023319977678128026,1,0.0,0.012825410247384397,6,40,5
refined_max_T6000,0.9285151620609833,0.29555555555555557,220,60,1.5374274190715342,9.658940314238862e-15,0.026741904825925384,0.035546040640845926,0.005047932773427126,0.00230107147588224,0.00234188556681421,1,3.0198774876868207e-06,0.018347988357489627,6,40,6
