label,sequence,phi,phi_over_pi,policy,T,T0,T1,v_fit,v_fit2,v_T,delta_v,deltaP_late_mean,deltaP_final,w_loc3,w_loc5,P0bar,x_mean_final,stable
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,fixed,24000,200,250,-0.052330931850372873,-0.052330901898541046,-0.05232838264561117,0.0026277448697019784,-0.16877579362251924,-0.08796602161799341,0.5818370807870461,0.6071613303396727,0.21625587303595026,-1255.881183494668,1
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,3000,2000,2500,-0.052332631868483734,-0.05235162293266153,-0.05229376816249129,0.00030413562854389453,-0.169565069910422,-0.06443389687242151,0.5818111379046129,0.6071439698359298,0.2164581055894106,-156.88130448747387,1
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,6000,4000,5000,-0.05233339950329076,-0.052338742760511814,-0.0523920207584867,0.00015037336636129078,-0.1684161644527061,-0.2891888752121371,0.5818197321120088,0.6071484091599736,0.21635113418589372,-314.3521245509202,1
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,8000,5333,6666,-0.052330193115654365,-0.05232325614437481,-0.05234537618177227,8.585026544744717e-05,-0.16832977600176535,-0.1711535642081984,0.5818218465150532,0.6071472725430752,0.21624213760215522,-418.76300945417813,1
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,10000,6666,8333,-0.05233041989708299,-0.05232838821532913,-0.05231632828283755,9.452454364075602e-05,-0.16904673573687537,-0.04807599378670946,0.5818212401143131,0.607148553979414,0.2163077338203431,-523.1632828283755,1
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,12000,8000,10000,-0.052330937071276555,-0.05233332713464269,-0.05234374921615201,5.762011678154405e-05,-0.169357502881879,-0.18914016865164268,0.5818213566257122,0.6071483512014795,0.21629681859615524,-628.1249905938241,1
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,16000,10666,13333,-0.05233088783887814,-0.052329805192843554,-0.0523322409397706,4.881136990898122e-05,-0.16850459986872973,-0.12662501502806034,0.581821654038992,0.6071482372243704,0.2162831988578915,-837.3158550363296,1
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,20000,13333,16666,-0.052331100810749626,-0.05233133969079548,-0.052343127627239486,3.9036850036533455e-05,-0.1689864135507776,-0.23148689901892855,0.5818238698035971,0.6071490689510095,0.2162427404394835,-1046.8625525447897,1
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,24000,16000,20000,-0.05233071909117199,-0.05233093593370781,-0.05232838264561117,3.592484347866853e-05,-0.1688584632558701,-0.08796602161799341,0.5818225168519855,0.607148624964509,0.21626975422720737,-1255.881183494668,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,3000,200,250,0.10815399532889791,0.10815430008566744,0.10813374973140098,0.001885153298504666,0.3620538303974198,0.43113690499935853,0.5794839268192206,0.5857197241128894,0.18721370407950047,324.40124919420293,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,6000,200,250,0.10815435891759777,0.10815443155717074,0.10813682703266775,0.0018882305997714316,0.3620657094567425,0.409746906280379,0.579483674013146,0.5857178221085625,0.18717792147788073,648.8209621960065,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,8000,200,250,0.10815438864177555,0.10815442885748956,0.10812345035379191,0.0018748539208955917,0.3620480379407231,0.4078179361994524,0.5794843737829921,0.5857174678225657,0.1871631167958662,864.9876028303353,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,10000,200,250,0.10815441406909913,0.10815443968248274,0.10815019680524247,0.0019016003723461572,0.36205376126944544,0.3748398568127518,0.5794842182900241,0.5857171636542704,0.18715843017258882,1081.5019680524247,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,12000,200,250,0.10815441733774134,0.10815443499117834,0.10815213533965709,0.0019035389067607739,0.3620492866194621,0.44778513297773853,0.5794850942756925,0.5857170800590532,0.1871612407812972,1297.8256240758851,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,16000,200,250,0.10815442791368414,0.1081544377921748,0.1081563068546194,0.00190771042172308,0.36204638168740105,0.40910730765825665,0.5794849897694877,0.5857168671683739,0.18715465342986293,1730.5009096739104,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,20000,200,250,0.10815442673396053,0.10815443300869737,0.10814201805882531,0.0018934216259289954,0.3620345968492117,0.40760183027083696,0.5794850493373594,0.585716722259186,0.1871529905981959,2162.840361176506,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,24000,200,250,0.10815443033139231,0.10815443468243921,0.108153289476482,0.0019046930435856896,0.3620374423805767,0.4478438036895818,0.5794852922696645,0.5857166552162149,0.18715375004157925,2595.6789474355683,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,3000,2000,2500,0.10815312692377826,0.10815248740793497,0.10813374973140098,0.00017358820133792086,0.36198157160840533,0.43113690499935853,0.5794879541460519,0.5857163548156417,0.18734220090449433,324.40124919420293,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,6000,4000,5000,0.10815437163529013,0.10815588583002506,0.10813682703266775,7.999652909440602e-05,0.36200294120277177,0.409746906280379,0.5794822995368332,0.5857156882575332,0.18726336126848436,648.8209621960065,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,8000,5333,6666,0.10815451678325082,0.10815387345702042,0.10812345035379191,4.198849447287212e-05,0.3619832618017551,0.4078179361994524,0.5794849328768452,0.5857160940028473,0.18714542385364305,864.9876028303353,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,10000,6666,8333,0.10815442751457238,0.10815450021355323,0.10815019680524247,5.4094656125533436e-05,0.3620570261577361,0.3748398568127518,0.5794828584256403,0.5857158699194565,0.18719740823836256,1081.5019680524247,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,12000,8000,10000,0.10815446472346235,0.10815448519617894,0.10815213533965709,4.6697357499889125e-05,0.36206316054908555,0.44778513297773853,0.5794841516437752,0.5857161020263179,0.18719225162730177,1297.8256240758851,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,16000,10666,13333,0.10815446417366222,0.10815458414001901,0.1081563068546194,3.8480644390298524e-05,0.3620383211723801,0.40910730765825665,0.5794847386868326,0.5857161721176793,0.18718011499276685,1730.5009096739104,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,20000,13333,16666,0.10815442685809405,0.10815441532556819,0.10814201805882531,1.6996343529737667e-05,0.3620167861592168,0.40760183027083696,0.5794847844901069,0.5857161801612359,0.18713934900931903,2162.840361176506,1
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,scaled,24000,16000,20000,0.10815443721909904,0.10815445642856852,0.108153289476482,2.3282917308173334e-05,0.3620256713367256,0.4478438036895818,0.5794854290382285,0.5857161947402656,0.1871746586546178,2595.6789474355683,1
pp_primary_mid_T6000,A,1.7535935734890633,0.5581861707899305,fixed,3000,200,250,-0.05983845461529771,-0.05983844939582764,-0.059836419681959664,2.702115684497658e-05,-0.07436628441667104,-0.0743594519085452,0.6272395377201875,0.6436206650368685,0.21005141322105145,-179.509259045879,1
