label,sequence,phi,phi_over_pi,policy,metric_name,n_points,T_min,T_max,limit_estimate_deg1,rmse_deg1,limit_estimate_deg2,rmse_deg2
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,w_loc3,7,6000,24000,0.7174904952122557,9.956333887997803e-09,0.7174905264934119,8.218982002990423e-09
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,w_loc5,7,6000,24000,0.7300175767510362,7.800429325331334e-09,0.7300176100525343,5.005913598374233e-09
paper_max_T300,B,1.0471975511965976,0.3333333333333333,fixed,P0bar,7,6000,24000,0.278183645709867,9.485689172873238e-08,0.2781841733741646,3.5775651709885886e-09
paper_max_T300,B,1.0471975511965976,0.3333333333333333,scaled,v_fit,7,6000,24000,-0.037608162096267196,6.673268081183804e-07,-0.037606279040291006,5.752369202898278e-07
paper_max_T300,B,1.0471975511965976,0.3333333333333333,scaled,deltaP_late_mean,7,6000,24000,-0.11873086994962899,0.000349675764940991,-0.11793388109873536,0.000319022373315811
paper_max_T300,B,1.0471975511965976,0.3333333333333333,scaled,w_loc3,7,6000,24000,0.7174905614460104,8.154222761313836e-07,0.7174895938174011,7.96679710386193e-07
paper_max_T300,B,1.0471975511965976,0.3333333333333333,scaled,w_loc5,7,6000,24000,0.730017566102045,1.0035127941746926e-07,0.7300175685910509,1.0035028332929562e-07
paper_max_T300,B,1.0471975511965976,0.3333333333333333,scaled,P0bar,7,6000,24000,0.2781783205425063,3.634217153686333e-05,0.27823196308231907,3.5041328239959e-05
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,fixed,v_fit,7,6000,24000,0.12009567069763447,2.3639629540070036e-08,0.12009572888476151,2.120313402263558e-08
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,fixed,deltaP_late_mean,7,6000,24000,0.4009714294264342,2.0852243542554e-05,0.4010163138747204,1.9230280803066733e-05
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,fixed,w_loc3,7,6000,24000,0.5539765752408807,4.393425105951942e-07,0.5539753810263643,3.834051194323166e-07
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,fixed,w_loc5,7,6000,24000,0.560587773866462,3.28312740083299e-08,0.560587677134689,2.785565285550882e-08
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,fixed,P0bar,7,6000,24000,0.1741969732875297,2.9068477492378335e-06,0.17420473428622868,2.5506897977955657e-06
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,scaled,v_fit,7,6000,24000,0.12009557990510492,1.246535382030394e-07,0.12009549763643267,1.2377436841779428e-07
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,scaled,deltaP_late_mean,7,6000,24000,0.40094970114787215,0.00010301864476933183,0.4011342502589061,9.75385272276771e-05
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,scaled,w_loc3,7,6000,24000,0.553977665194977,2.3563379000496895e-06,0.5539698178744872,1.888148243075312e-06
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,scaled,w_loc5,7,6000,24000,0.5605879318089005,2.0318110951524408e-07,0.5605870892497227,1.3554934111826355e-07
paper_max_T300,ABB,1.0471975511965976,0.3333333333333333,scaled,P0bar,7,6000,24000,0.17418954946752024,1.9659181666521103e-05,0.1742279038321752,1.841227410669193e-05
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,fixed,v_fit,7,6000,24000,-0.052317222717133065,1.9935476487762945e-10,-0.052317223825408335,1.0268492305295015e-11
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,fixed,deltaP_late_mean,7,6000,24000,-0.06452564218621953,4.88564414933958e-10,-0.0645256395014177,7.800672322482845e-11
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,fixed,w_loc3,7,6000,24000,0.4940108104241027,7.084372075735172e-09,0.49401077108890495,5.076636645244948e-10
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,fixed,w_loc5,7,6000,24000,0.5245158650828479,2.742405797372743e-09,0.5245158499497582,3.6129719291654643e-10
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,fixed,P0bar,7,6000,24000,0.1429128091884909,4.610585858456226e-08,0.1429130658450308,1.290387331661215e-10
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,scaled,v_fit,7,6000,24000,-0.05231722393864554,2.0610211649091502e-11,-0.05231722403083605,1.2268326276521178e-11
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,scaled,deltaP_late_mean,7,6000,24000,-0.06452564105426851,8.156156003871543e-10,-0.06452564252694265,7.71519148735515e-10
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,scaled,w_loc3,7,6000,24000,0.49401106730237593,1.85717443890202e-06,0.49400834692773943,1.79172595644829e-06
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,scaled,w_loc5,7,6000,24000,0.5245159130803195,3.9811021123320716e-07,0.5245153379686133,3.8447132284518555e-07
refined_max_T6000,A,0.9285151620609833,0.29555555555555557,scaled,P0bar,7,6000,24000,0.14291008314321005,1.8659355522758987e-05,0.1429375752957535,1.799391551623303e-05
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,fixed,v_fit,7,6000,24000,-0.05233088572743949,6.370678178674126e-08,-0.05233105016326839,5.64445791113118e-08
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,fixed,deltaP_late_mean,7,6000,24000,-0.16884365398875223,6.820729037152921e-05,-0.16889857454534332,6.7489986984527e-05
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,fixed,w_loc3,7,6000,24000,0.5818231137407137,2.1662081065871403e-07,0.5818241368025346,1.14667341887085e-07
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,fixed,w_loc5,7,6000,24000,0.6071483755756009,1.956477620639307e-07,0.6071493056382281,1.0180192066988371e-07
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,fixed,P0bar,7,6000,24000,0.21624212103715365,1.3157278136330475e-07,0.21624282783332413,3.450182974844217e-08
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,v_fit,7,6000,24000,-0.05232986647932916,8.073321474107405e-07,-0.0523336004163509,4.4929084151116353e-07
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,deltaP_late_mean,7,6000,24000,-0.16915683729936462,0.0003071779769963537,-0.16855727310765192,0.00028767662579026553
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,w_loc3,7,6000,24000,0.5818238004945322,6.910882852715286e-07,0.5818238877225518,6.909106175590415e-07
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,w_loc5,7,6000,24000,0.6071488872993233,4.4708717658083896e-07,0.6071501114465021,3.8926674480720343e-07
refined_max_T6000,B,0.9285151620609833,0.29555555555555557,scaled,P0bar,7,6000,24000,0.21623815000477603,2.8470534228212022e-05,0.21628036370897102,2.744204064113443e-05
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,v_fit,7,6000,24000,0.10815446045726071,6.002947213718534e-09,0.10815443102550602,2.8428608520069243e-09
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,deltaP_late_mean,7,6000,24000,0.3620290761309104,4.1247730517186275e-06,0.3620272422823143,4.111596697066526e-06
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,w_loc3,7,6000,24000,0.5794857852682762,1.9261534270359478e-07,0.5794856581498052,1.9125692058643927e-07
refined_max_T6000,ABB,0.9285151620609833,0.29555555555555557,fixed,w_loc5,7,6000,24000,0.5857162678577483,2.3741399279094152e-08,0.5857162433027908,2.3328024818669298e-08
