label,phi,phi_over_pi,L,rank_by_w_loc5,mode_index,w_loc3,w_loc5,P0,ipr,overlap_weight,tail_fit_ok,tail_kappa,tail_rmse_log
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,7,14,0.049396915224222425,0.06544031234736389,0.010131472983820654,0.004272201196194323,0.004325051451885463,1,1.0493759123130251e-05,0.0054376374246578995
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,8,36,0.049454709213029045,0.0653762417310019,0.00945801816370506,0.004268219069652825,0.004434363430537619,1,0.0,0.01583368381985052
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,9,40,0.04921671178411409,0.0652884847455574,0.01028910612138454,0.004272685686647893,0.004253717933070641,1,0.0,0.01571920528846439
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,10,10,0.04929676691618816,0.06516643372362083,0.009168254099618176,0.004265942219661796,0.004431110958550937,1,4.0499079161595756e-05,0.025755811714652698
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,11,16,0.04896552116242428,0.06506114933061773,0.010413267497809527,0.004272850502902565,0.00416828082275056,1,3.573593980682487e-05,0.023374667796719897
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,12,34,0.049044722089545766,0.06485973141639442,0.008847761470317973,0.004263216559974789,0.00440674256913463,1,0.00019204191366496928,0.03025171485935939
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,13,42,0.04864883169220761,0.06476568032222035,0.010504026420604261,0.004272763310941844,0.004071187196093903,1,0.00017209111297373058,0.02612495371892411
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,14,8,0.048697271161271684,0.06445782256015155,0.008498456825086374,0.004260117008920689,0.0043612355453173995,1,0.00042863372301447814,0.03595288578457009
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,15,18,0.048271250553772065,0.0644088713222984,0.010561228626991454,0.004272480239280882,0.003965090335374683,1,0.00036237611665194594,0.030881411683244226
refined_max_T6000,0.9285151620609833,0.29555555555555557,120,16,44,0.047835979548006405,0.06399615658245099,0.010584271935246733,0.004272034904234795,0.0038527904912984486,1,0.0004792152660815183,0.03900235119470895
refined_max_T6000,0.9285151620609833,0.29555555555555557,160,1,0,0.990271596970646,0.9987865133978124,0.3659735690128734,0.27341222087226275,0.29253045804306516,1,1.1633567089473873,0.0920749939867061
