label,phi,phi_over_pi,L,k_localized_modes,subspace_weight,absolute_contribution_w_loc3,absolute_contribution_w_loc5,absolute_contribution_P0,conditional_w_loc3,conditional_w_loc5,conditional_P0,weighted_tail_kappa,full_diag_w_loc3,full_diag_w_loc5,full_diag_P0
refined_max_T6000,0.9285151620609833,0.29555555555555557,300,16,0.6084975086361478,0.5813554397896638,0.5864992474997457,0.21454904488708101,0.9553949384159045,0.9638482313827254,0.35258820593688084,1.1209498729571028,0.585358811550429,0.5943556952389177,0.18789412821468057
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,120,2,0.06429341826322986,0.06375846826412807,0.06414711792439831,0.014639231400596708,0.9916795526890233,0.997724489647874,0.22769409056244022,1.1310372766630536,0.10930465647216987,0.13314149338161696,0.02197587446317846
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,120,4,0.11268459300399833,0.08579048617300049,0.09297497554079194,0.015905840202125935,0.7613328839902401,0.825090396674663,0.14115363758345878,0.7105070159025896,0.10930465647216987,0.13314149338161696,0.02197587446317846
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,120,8,0.13899719138487235,0.08734406690158936,0.09504037267137173,0.01624032171564065,0.6283872791338673,0.6837575041945443,0.1168392077122801,0.5809361970227883,0.10930465647216987,0.13314149338161696,0.02197587446317846
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,120,16,0.17646276689008544,0.0892739691057419,0.09772257885635491,0.016588434443319384,0.505908247269797,0.5537858245032734,0.0940052949167001,0.45932862293480964,0.10930465647216987,0.13314149338161696,0.02197587446317846
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,160,2,0.06429341826322962,0.06375846826412782,0.06414711792439809,0.01463923140059665,0.991679552689023,0.9977244896478742,0.22769409056244017,1.1281771761368713,0.10289218640504898,0.12312604108064262,0.02100453981270913
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,160,4,0.11268459300399472,0.08579048617299322,0.0929749755407824,0.015905840202125647,0.7613328839902,0.8250903966746048,0.14115363758346075,0.7089697721516094,0.10289218640504898,0.12312604108064262,0.02100453981270913
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,160,8,0.13221819003454596,0.08666461084442367,0.09415761026608079,0.016091704492178793,0.6554666254452579,0.7121380971973621,0.12170567822758996,0.6074247696069962,0.10289218640504898,0.12312604108064262,0.02100453981270913
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,160,16,0.1631049889069486,0.08789798591489516,0.09587824450049467,0.016333248198123675,0.5389043370404872,0.5878314645249337,0.1001394764659332,0.4941679192984654,0.10289218640504898,0.12312604108064262,0.02100453981270913
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,220,2,0.0642934182632294,0.06375846826412762,0.06414711792439787,0.014639231400596576,0.9916795526890234,0.9977244896478742,0.2276940905624398,1.1281771925505386,0.09739788665736338,0.11462317389433752,0.020159452288286552
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,220,4,0.11268459300399282,0.0857904861729925,0.09297497554078157,0.015905840202125474,0.7613328839902065,0.8250903966746114,0.14115363758346158,0.7089697815166053,0.09739788665736338,0.11462317389433752,0.020159452288286552
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,220,8,0.12427761863923502,0.08618746977341321,0.09348683923341612,0.01596546484077105,0.6935075737458927,0.7522419584237342,0.12846613103456006,0.6428347449611231,0.09739788665736338,0.11462317389433752,0.020159452288286552
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,220,16,0.14944024059278407,0.08695938238015233,0.09450563338170077,0.016123515036011688,0.5819007118511778,0.6323974921803232,0.10789272669834174,0.5346903207059862,0.09739788665736338,0.11462317389433752,0.020159452288286552
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,300,2,0.06429341826322955,0.06375846826412776,0.064147117924398,0.014639231400596617,0.9916795526890232,0.997724489647874,0.2276940905624399,1.1281771757003467,0.09367606629479723,0.10883141462053038,0.019594622193539732
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,300,4,0.11268459300399436,0.08579048617299341,0.09297497554078264,0.015905840202125605,0.7613328839902042,0.8250903966746096,0.14115363758346083,0.7089697719025427,0.09367606629479723,0.10883141462053038,0.019594622193539732
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,300,8,0.12245047341469632,0.08603279977436543,0.09329446972366674,0.015951033704630153,0.7025926268410808,0.7618955412913061,0.13026518607739196,0.6529478190657565,0.09367606629479723,0.10883141462053038,0.019594622193539732
