label,phi,phi_over_pi,L,topk_overlap_weight,diag_period_avg_w_loc3,diag_period_avg_w_loc5,diag_period_avg_P0,ring_direct_period_avg_w_loc3,ring_direct_period_avg_w_loc5,ring_direct_period_avg_P0,abs_diff_diag_vs_ring_w_loc3,abs_diff_diag_vs_ring_w_loc5,abs_diff_diag_vs_ring_P0,delta_from_prev_L_w_loc3,delta_from_prev_L_w_loc5,delta_from_prev_L_P0,prev_L
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,220,0.14944024059278407,0.09739788665736338,0.11462317389433752,0.020159452288286552,0.09555240795820741,0.11214754703677,0.01974239876193545,0.0018454786991559669,0.0024756268575675117,0.00041705352635110216,0.005494299747685602,0.008502867186305108,0.0008450875244225761,160
pp_primary_mid_T6000,1.7535935734890633,0.5581861707899305,300,0.140104752735225,0.09367606629479723,0.10883141462053038,0.019594622193539732,0.09141528242766535,0.1056794401376546,0.019131929521463056,0.0022607838671318825,0.003151974482875783,0.0004626926720766762,0.0037218203625661445,0.005791759273807137,0.0005648300947468203,220
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,120,0.22822220751383338,0.12398099994324308,0.15291370736946094,0.026809568299093103,0.12313034634754975,0.15185622288664058,0.026593206262518515,0.0008506535956933209,0.0010574844828203644,0.0002163620365745883,nan,nan,nan,nan
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,160,0.2165522196438467,0.11846885884234513,0.1442246701267652,0.02601732011074412,0.11685904796335829,0.14208213423657243,0.025668486269592825,0.0016098108789868448,0.0021425358901927816,0.00034883384115129423,0.005512141100897941,0.008689037242695735,0.0007922481883489846,120
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,220,0.2064013177899997,0.11383348103403124,0.1369985084959403,0.02535221090880652,0.11209921632106304,0.13469306730404842,0.024975154944530082,0.0017342647129681976,0.0023054411918918827,0.0003770559642764376,0.004635377808313898,0.007226161630824901,0.0006651092019375991,160
pp_primary_left_T6000,1.733178845836952,0.5516879611545139,300,0.20345607163437063,0.11061520023400277,0.13195733512128563,0.024891735797113665,0.10863057054692116,0.12930858392391,0.024494905688384437,0.0019846296870816155,0.0026487511973756206,0.0003968301087292278,0.003218280800028464,0.005041173374654678,0.00046047511169285474,220
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,120,0.20390240141159324,0.1255317949460073,0.15358809122720626,0.023731757974901176,0.12463562775815987,0.15254165289343977,0.023478520564332438,0.0008961671878474353,0.0010464383337664973,0.00025323741056873864,nan,nan,nan,nan
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,160,0.19149286343628014,0.11926715459537758,0.14370918481730052,0.022808717006736725,0.11767097369784787,0.14169783097514846,0.022429306264985172,0.001596180897529706,0.002011353842152064,0.0003794107417515527,0.006264640350629722,0.009878906409905741,0.0009230409681644514,120
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,220,0.17568471839834815,0.11412123049258882,0.13562580897328966,0.022047926186917605,0.11253745319258862,0.1334598605284581,0.02166979147902881,0.0015837773000001998,0.0021659484448315613,0.0003781347078887949,0.00514592410278876,0.008083375844010865,0.0007607908198191196,160
pp_primary_right_T6000,1.7740083011411747,0.5646843804253472,300,0.16455113981665742,0.1104102040678722,0.12980857259156944,0.02149155603934098,0.10853832783427528,0.12711552027271789,0.021102959996177315,0.001871876233596928,0.0026930523188515576,0.0003885960431636651,0.0037110264247166153,0.005817236381720214,0.000556370147576625,220
