policy,phi_index,phi,phi_over_pi,strict_raw_all_T,drift_raw_all_T,T_last,v_fit_A_T_last,v_fit_B_T_last,v_fit_ABB_T_last,adv_v_T_last
fixed,23,2.007128639793479,0.6388888888888888,1,1,1500,-0.060814123453815906,-0.009016601447246912,0.08575712919775212,0.09477373064499903
fixed,24,2.0943951023931953,0.6666666666666666,1,1,1500,-0.06077921640702459,-0.008443219654433766,0.0880652262050301,0.09650844585946386
fixed,25,2.1816615649929116,0.6944444444444444,1,1,1500,-0.06041254228976349,-0.007969311651136925,0.08436446094354799,0.09233377259468492
fixed,26,2.2689280275926285,0.7222222222222222,1,1,1500,-0.0597089647245039,-0.007565357026280914,0.075332101663279,0.08289745868955992
fixed,27,2.356194490192345,0.75,1,1,1500,-0.05881613013940132,-0.007218609967910891,0.0627204631432311,0.06993907311114199
fixed,28,2.443460952792061,0.7777777777777778,1,1,1500,-0.05784762292275386,-0.0069264103359141654,0.048353626223603986,0.05528003655951815
fixed,29,2.5307274153917776,0.8055555555555555,1,1,1500,-0.05688900884544142,-0.006684714702679539,0.03384187633291312,0.04052659103559266
fixed,30,2.6179938779914944,0.8333333333333334,1,1,1500,-0.05599579509312364,-0.0064871222433649555,0.020666668646345178,0.027153790889710133
fixed,31,2.705260340591211,0.8611111111111112,1,1,1500,-0.05520502240786621,-0.006327459337723281,0.010760209672148713,0.017087669009871995
fixed,32,2.792526803190927,0.8888888888888888,1,1,1500,-0.0545362159642936,-0.0062011504286473935,0.013027317193454015,0.019228467622101408
fixed,33,2.8797932657906435,0.9166666666666666,1,1,1500,-0.05400524445633889,-0.006105206800948019,0.025717714282126176,0.0318229210830742
fixed,34,2.96705972839036,0.9444444444444444,1,1,1500,-0.053622176008472085,-0.006037768579907229,0.03613753011965249,0.042175298699559716
fixed,35,3.0543261909900767,0.9722222222222222,1,1,1500,-0.05339163658953554,-0.005997712895820812,0.0434286991529157,0.04942641204873652
fixed,36,3.141592653589793,1.0,1,1,1500,-0.05331398534984075,-0.0059844268489621065,0.04819264939976403,0.05417707624872614
fixed,37,3.2288591161895095,1.0277777777777777,1,1,1500,-0.053391636589535794,-0.005997712895820786,0.04948018018101144,0.05547789307683223
fixed,38,3.316125578789226,1.0555555555555556,1,1,1500,-0.05362217600847225,-0.00603776857990723,0.04440889228901457,0.0504466608689218
fixed,39,3.4033920413889427,1.0833333333333335,1,1,1500,-0.05400524445633931,-0.006105206800948037,0.03162987649482859,0.03773508329577663
fixed,40,3.490658503988659,1.1111111111111112,1,1,1500,-0.05453621596429297,-0.0062011504286474,0.01215415321961387,0.018355303648261267
fixed,41,3.5779249665883754,1.1388888888888888,1,0,1500,-0.05520502240786601,-0.006327459337723292,-0.017572172827060153,-0.011244713489336863
fixed,42,3.665191429188092,1.1666666666666665,1,0,1500,-0.05599579509312314,-0.006487122243364945,-0.05760778899547929,-0.051120666752114345
fixed,43,3.752457891787808,1.1944444444444444,1,0,1500,-0.05688900884544193,-0.006684714702679539,-0.10026165131315903,-0.0935769366104795
fixed,44,3.839724354387525,1.2222222222222223,1,0,1500,-0.0578476229227538,-0.006926410335914143,-0.1397610245148532,-0.13283461417893905
fixed,45,3.9269908169872414,1.25,1,0,1500,-0.05881613013940133,-0.0072186099679109016,-0.17001033935154883,-0.16279172938363792
fixed,46,4.014257279586958,1.2777777777777777,1,0,1500,-0.0597089647245046,-0.0075653570262809,-0.18499550212526564,-0.17743014509898475
fixed,47,4.101523742186674,1.3055555555555556,1,0,1500,-0.06041254228976381,-0.007969311651136944,-0.17968106526194466,-0.1717117536108077
fixed,48,4.1887902047863905,1.3333333333333333,1,0,1500,-0.06077921640702492,-0.008443219654433773,-0.15149856170352663,-0.14305534204909287
fixed,49,4.276056667386107,1.361111111111111,1,0,1500,-0.060814123453815816,-0.009016601447246909,-0.10296445302855402,-0.09394785158130711
fixed,50,4.363323129985823,1.3888888888888888,1,0,1500,-0.060625264162348286,-0.009702589542183775,-0.04570328950219746,-0.036000699960013684
fixed,51,4.4505895925855405,1.4166666666666667,1,0,1500,-0.06027087836722284,-0.010507056958871,-0.004544994502429464,0.005962062456441537
fixed,52,4.537856055185257,1.4444444444444444,1,1,1500,-0.05978808421010162,-0.011498175620250375,0.011745529147819067,0.023243704768069442
fixed,53,4.625122517784973,1.4722222222222223,1,1,1500,-0.059203307617334264,-0.012682409707965718,0.008724184328593208,0.021406594036558924
fixed,54,4.71238898038469,1.5,1,1,1500,-0.058536499981783986,-0.014156885468555598,0.005076253735610981,0.01923313920416658
fixed,55,4.799655442984406,1.5277777777777777,1,1,1500,-0.057803393892954844,-0.015985368971180733,0.0010508601565908558,0.01703622912777159
fixed,56,4.886921905584122,1.5555555555555556,1,0,1500,-0.057016902742485547,-0.01829077407818013,-0.002838955735245971,0.015451818342934161
fixed,57,4.974188368183839,1.5833333333333333,1,0,1500,-0.05618808468184322,-0.021251149227402753,-0.006355938333087276,0.014895210894315478
fixed,58,5.061454830783555,1.611111111111111,1,0,1500,-0.05532683745393543,-0.025152816172534006,-0.009493340158947969,0.015659476013586037
fixed,59,5.148721293383272,1.6388888888888888,1,0,1500,-0.05444246645859475,-0.030401479204656776,-0.012229669061343469,0.01817181014331331
fixed,60,5.235987755982989,1.6666666666666667,1,0,1500,-0.05354415455974696,-0.03760431506429091,-0.014469049821706855,0.02313526524258406
