policy,phi_index,phi,phi_over_pi,strict_all_T,drift_all_T,pp_primary_all_T,pp_sensitivity_all_T,T_last,v_fit_A_T_last,v_fit_B_T_last,v_fit_ABB_T_last,w_loc3_ABB_T_last,w_loc5_ABB_T_last,adv_v_T_last
fixed,63,5.497787143782138,1.75,1,0,0,0,1500,-0.050864862960593386,-0.08011857486220421,-0.017282211889875474,0.46534687550464804,0.4813771682922333,0.03358265107071791
fixed,64,5.585053606381854,1.7777777777777777,1,0,0,0,1500,-0.0500155886059899,-0.09723040066214707,-0.016472832976186604,0.3943096161690893,0.4125960777015936,0.03354275562980329
fixed,65,5.672320068981571,1.8055555555555556,1,0,0,0,1500,-0.049211497277769106,-0.11246738413226282,-0.014635046970551782,0.3187905684328588,0.33911770222269677,0.03457645030721732
fixed,66,5.759586531581287,1.8333333333333333,1,0,0,0,1500,-0.04847008459201152,-0.12620143813780002,-0.011743518022312443,0.2380947764016144,0.25865852696386193,0.036726566569699075
fixed,67,5.8468529941810035,1.861111111111111,1,0,0,0,1500,-0.047810477933182625,-0.13861604624607138,-0.007724719670876268,0.140635016062363,0.1523476559067445,0.040085758262306356
fixed,68,5.93411945678072,1.8888888888888888,1,0,0,0,1500,-0.04725434688227461,-0.14982865537293374,-0.004087064071706445,0.10019724935201527,0.10299458031152998,0.04316728281056816
fixed,69,6.021385919380437,1.9166666666666667,1,0,0,0,1500,-0.04682189049822778,-0.15991822301464936,-0.0034660517873604225,0.09336689777518781,0.0964642570260017,0.04335583871086736
fixed,70,6.1086523819801535,1.9444444444444444,1,0,0,0,1500,-0.04653367175068925,-0.1688896799810413,-0.005352058697743085,0.08053106426375453,0.08586544673840256,0.04118161305294617
fixed,71,6.19591884457987,1.9722222222222223,1,0,0,0,1500,-0.04638516066420156,-0.1764203376688325,-0.010854124816614267,0.04570405334793049,0.05488991499309546,0.03553103584758729
scaled,0,0.0,0.0,1,0,0,0,1500,-0.04635777580307318,-0.18037710020800862,-0.012839099095551297,0.004090389024932235,0.006594439894897757,0.033518676707521886
scaled,1,0.08726646259971647,0.027777777777777776,1,0,0,0,1500,-0.04639008121487549,-0.17642687758630093,-0.0031660067319670233,0.21326572734792576,0.2510802685585543,0.04322407448290847
scaled,2,0.17453292519943295,0.05555555555555555,1,0,0,0,1500,-0.046534938374499464,-0.16889319474509396,0.006493036398124413,0.4258725118805111,0.453125560701313,0.05302797477262388
